objectid,parentid,filename,title,creator,description,date,subject,location,latitude,longitude,format,type,image_thumb,image_small,object_location,source,identifier,language,rights,rightsstatement,collection
sns_1965_whatserface_po_0004,,sns_1965_whatserface_po_0004.pdf,"Poster for Whatserface, 1965",Scotch'n'Soda Theatre,,1965,Poster,,,,application/pdf,Image,objects/thumbs/sns_1965_whatserface_po_0004_th.jpg,objects/small/sns_1965_whatserface_po_0004_sm.jpg,/objects/sns_1965_whatserface_po_0004.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1965_whatserface_po_0005,,sns_1965_whatserface_po_0005.pdf,"Poster for Whatserface, 1965",Scotch'n'Soda Theatre,,1965,Poster,,,,application/pdf,Text,objects/thumbs/sns_1965_whatserface_po_0005_th.jpg,objects/small/sns_1965_whatserface_po_0005_sm.jpg,/objects/sns_1965_whatserface_po_0005.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1965_whatserface_po_0006,,sns_1965_whatserface_po_0006.pdf,"Poster for Whatserface, 1965",Scotch'n'Soda Theatre,,1965,Poster,,,,application/pdf,Text,objects/thumbs/sns_1965_whatserface_po_0006_th.jpg,objects/small/sns_1965_whatserface_po_0006_sm.jpg,/objects/sns_1965_whatserface_po_0006.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1966_nouveau_pr,,sns_1966_nouveau_pr.pdf,"Program for Nouveau, 1966",Scotch'n'Soda Theatre,,1966,Program,,,,application/pdf,Text,objects/thumbs/sns_1966_nouveau_pr_th.jpg,objects/small/sns_1966_nouveau_pr_sm.jpg,/objects/sns_1966_nouveau_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1967_pippin_pr,,sns_1967_pippin_pr.pdf,"Program for Pippin, Pippin, 1967",Scotch'n'Soda Theatre,,1967,Program,,,,application/pdf,Text,objects/thumbs/sns_1967_pippin_pr_th.jpg,objects/small/sns_1967_pippin_pr_sm.jpg,/objects/sns_1967_pippin_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1968_twice_pr,,sns_1968_twice_pr.pdf,"Program for Twice Upon a Time, 1968",Scotch'n'Soda Theatre,,1968,Program,,,,application/pdf,Image,objects/thumbs/sns_1968_twice_pr_th.jpg,objects/small/sns_1968_twice_pr_sm.jpg,/objects/sns_1968_twice_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1969_madame_pr,,sns_1969_madame_pr.pdf,"Program for Madame Madame!, 1969",Scotch'n'Soda Theatre,,1969,Program,,,,application/pdf,Text,objects/thumbs/sns_1969_madame_pr_th.jpg,objects/small/sns_1969_madame_pr_sm.jpg,/objects/sns_1969_madame_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1970_something_pr,,sns_1970_something_pr.pdf,"Program for Something Personal, 1970",Scotch'n'Soda Theatre,,1970,Program,,,,application/pdf,Text,objects/thumbs/sns_1970_something_pr_th.jpg,objects/small/sns_1970_something_pr_sm.jpg,/objects/sns_1970_something_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1970_something_tx,,sns_1970_something_tx.pdf,"Ticket for Something Personal, 1970",Scotch'n'Soda Theatre,,1970,Ticket,,,,application/pdf,Text,objects/thumbs/sns_1970_something_tx_th.jpg,objects/small/sns_1970_something_tx_sm.jpg,/objects/sns_1970_something_tx.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1970_something_sm,,sns_1970_something_sm.pdf,"Show Materials for Something Personal, 1970",Scotch'n'Soda Theatre,,1970,Show Materials,,,,application/pdf,Text,objects/thumbs/sns_1970_something_sm_th.jpg,objects/small/sns_1970_something_sm_sm.jpg,/objects/sns_1970_something_sm.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
